Sensor_ID,Timestamp,Raw_Value,Auth_Signature
SENSOR_005,1,23.3887,c0994d52237e38e118683e96b66c82ee8a58e895e8bd31db9e91d50095e5dc65
SENSOR_002,2,34.4959,fa44e8065d03d550bc28c38ed7a946ff668f7236dbfa1fabb8571655d82eca8c
SENSOR_005,3,39.7313,759748feef78c7a1131f7e1b75f531837a438d401d5c1bf2ba7ae6ed59e2ebd0
SENSOR_008,4,33.6054,8b0ac0a8c43bb24ad1d2ce6355007846171be66643bab058b4a64e1e4611eed8
SENSOR_003,5,16.4424,e061599dba5e5796fb0d2d8091b190d062e9ccfd66e5c2963713877d8ceb8d62
SENSOR_005,6,31.2931,ae7805294b2c09442fc9a80cd18dbf6aabcde37124c50bdfaf4af55131b661f2
SENSOR_007,7,31.4989,97c1bf09438f39df10fc047e2c4183719df8dc6c6a04bae863f5a099d250eadf
SENSOR_005,8,24.79,262e8ae8e23c6f2896208457fe91ec81f6a2b4cca7e7e2543891db399dfa6f9e
SENSOR_010,9,32.4014,7ab0ff426b79a77a6037429e00bd07a4d59efb40e5c8a5d948738fea4256e62c
SENSOR_003,10,35.5757,8a47a4094b1f48631e2ef54dc692780a2910a17d43fecd639fbddac980dc2c02
SENSOR_001,11,18.601,0fd5ab20b32bb902434dd57892a412396ca0d450756478c14db8c78727d688d3
SENSOR_003,12,29.2685,8bdaf2368ec65f2d82ac44923627b3ea977196a3891032b416d1d3a09f22501c
SENSOR_001,13,36.6804,2a233a4fbedd977845ffadd07bda8e6d56f34cc32819d2c16317cbbf9c6f1eb5
SENSOR_001,14,19.0464,80423844c5701558e262fd40c0f1224bd6507553a9ce530d05a3736822a17de6
SENSOR_010,15,26.1935,fefbfac3092d432c6b153464045a2a4ac155c7ccdef34de13353a59dd89adf8e
SENSOR_007,16,27.9462,80cb90c1030a482bb9e7e9cb63261afed2873e6d64dae82cc4cda49f9853724f
SENSOR_008,17,38.1203,06591e1993f466fd535164673090fd174b0b17286c26cb0dec5f40d8b475956d
SENSOR_001,18,35.6015,INVALID_SIGNATURE_18
SENSOR_005,19,22.394,INVALID_SIGNATURE_19
SENSOR_004,20,34.5371,INVALID_SIGNATURE_20
SENSOR_001,21,30.7456,476316c98b9eff8c93fed28dc1e079081970697e8e268543b188bcb54d508c78
SENSOR_001,22,33.2994,897723879ada5c758689b6a3836f118ad925f0115ce8d71bbe00c5af6a6d4eb0
SENSOR_010,23,25.4614,58ec7e80a663ea161009807dac2201362ea6c2a68ffbfad1e4c7e25b20b05417
SENSOR_007,24,39.0908,9c7a1d5648c066c4a2f5a82c7ff24acd885be74d92d86c2ab27bdabb09397af5
SENSOR_010,25,34.5266,d2acfe83844effec64f57205810eb91c04bf5c2aaf9388a2712c3d6bc3d1ae0b
SENSOR_009,26,23.2126,7ee89a29b8a5e3dd36ea1c394e0db5de548ee4021f324e7aeaa78525b678dd1f
SENSOR_009,27,17.3829,INVALID_SIGNATURE_27
SENSOR_003,28,26.5451,6ded9de382819b5b47c93f012a8745393eb89526077fe924467d1ef7ced9a136
SENSOR_006,29,19.288,0184cf159b819fe16136f92c11d31dd5d81c026db756d295afc127db5980d090
SENSOR_003,30,32.1817,a551df3f1bcc866ce32ea4e9eb7015d28018633c64a57b8393eb584c485fc6b3
SENSOR_010,31,36.6106,INVALID_SIGNATURE_31
